12.0	24.1	36.1	49.4	62.7	75.9	88.0	100.0
1600	-1.08	1.08	2.17	2.63	2.78	2.78	2.78	2.78
2380	-1.55	1.39	4.49	7.58	10.83	13.61	13.61	13.61
2450	-2.63	0.46	3.56	7.12	10.52	13.61	13.61	13.61
2550	-2.94	0.15	3.40	6.96	10.52	13.61	13.61	13.61
2800	-4.18	0.00	3.25	6.81	10.36	13.61	13.61	13.61
4800	-4.95	1.86	4.64	7.73	10.67	13.61	13.61	13.61
5200	-6.34	0.77	3.56	6.65	9.59	12.53	12.53	12.53
5600	-7.43	0.00	2.78	5.88	8.82	11.91	11.91	11.91
6800	-10.06	-0.77	1.55	3.87	6.19	6.65	6.65	6.65
